date_filling,batch_number_gp,date_bulk_prepared,batch_number_bulk,date_aroma_added,trademark_name,label_name,quantity_units,volume,notes,packaging_type,allowed_for_shipment
,26/12/24,12/6/2024,,,Crumb,"Гель-скраб Sea Salt, RP109",,,,,дозволено
,26/12/24,12/13/2024,,,Crumb,"Лосьйон для тіла Cannabis, RP024",,,,,дозволено
,12/24,12/19/2024,,,MLN070,"MASK HAIR XTREME REPAIR, маска , чорна, RP010",,,,"Банка PP 250 мл чорна, вкладиш прозорий PP, кришка РР чорна  24/410",дозволено
,12/24(1),12/26/2024,,,L238,"Батер для тіла ""Полуниця""",,,,,дозволено
,12/24(1),12/26/2024,,,L236,Зволожуючий тонік Hydra,,,,,дозволено
,26/12/24,11/28/2024,,,Лотус,"Крем-суфле для тіла зі скваланом, маслом ши та мигдальною олією, RP024",,,,,дозволено
12/30/2024,30/12/24,11/18/2024,,,MLN004,"BALM CONDSTSONER HAIR RESCUE, бальзам-кондиціонер , зелена, RP061",,,,"Флакон HDPE білий 250мл,  помпа (PP, LDPE, HDPE, STN STL, GLASS) біла 24/410",дозволено
,30/12/24,12/30/2024,,,контракт кофейня,Бальзам для губ капучино,,,,,дозволено
,12/24,11/28/2024,,,L338,"Hand cream Lavender, 50 мл , крем для рук",,,,,дозволено
,12/24(1),12/24/2024,,,L215,Заспокійливий крем Calm,,,,,дозволено
,12/24,12/26/2024,,,L217,Зволожуючий крем Hydra,,,,,дозволено
,12/24(1),12/26/2024,,,OASIS008,"Крем для рук Lost Cherry Tom Ford, RP065",,,,"Алюмінієва туба з лакофарбовим покриттям 30 мл, кришка PE чорна",дозволено
1/7/2025,07/01/25,12/24/2024,,,Crumb,"Гель для душу Cherry Santal, RP032",,,,,дозволено
,07/01/25,12/24/2024,,,Crumb,"Гель для душу Vetiver and Bergamot, RP032",,,,,дозволено
1/9/2025,09/01/25,1/9/2025,,,Injoy,Бальзам для губ,,,,,дозволено
,01/25,1/9/2025,,,L234,Гель з пребіотиком для очищення обличчя,,,,,дозволено
1/10/2025,01/25(1),1/10/2025,,,S066,Сіль для Ванни Радуга Salt Rainbow,,,,,дозволено
1/13/2025,01/25,1/7/2025,,,MLN053,"Крем термозахист lдля волосся, MELONI HAIR CREAM THERMAL PROTECTION, 100 ML, RP022",,,,"Ламінатна туба 100 мл та бушони полімерні (Ламінарна плівка типа ABL або PBL, поліпропілен (PP))",дозволено
1/14/2025,01/25(1),11/14/2024,,,MLN028,Кислотний пілінг для шкіри голови,,,,"Флакон HDPE білий 50 мл, кришка РР біла Д24",дозволено
,01/25(1),10/10/2024,,,MLN026,"MASK HAIR RESCUE, зелена етикетка",,,,,дозволено
,01/25(1),12/24/2024,,,OASIS016,"Гель для душу OASIS Tom Ford вишня, 300 ml, RP032",,,,"Флакон PET білий 300мл, помпа лосьйонна (РР, РЕ, LDPE, HDPE, GLASS, STN STL) чорна",дозволено
,01/25(1),1/10/2025,,,MLN024,"CONDITIONER XTREME REPAIR, кондиціонер , чорна етикетка",,,,,дозволено
,01/25(1),11/26/2024,,,MLN027,Спрей для стимуляціі росту волосся,,,,,дозволено
1/15/2025,01/25(1),1/14/2025,,,L052,Гідрофільна олія для очищення обличчя,,,,,дозволено
,15/01/25,11/30/2024,,,Шевченко,"silk elexir еліксір для кінчиків,  RP020",,,,,дозволено
,09/01/25,19.12.2024    10.01.2025,,,Шевченко,"Nutri restore поживна маска для волосся,  RP059",,,,,дозволено
,09/01/25,07.01.2025     10.01.2025,,,Шевченко,"Moisture balance бальзам-кондиціонер для волосся, RP009",,,,,дозволено
,09/01/25,29.11.2024     13.01.2025,,,Шевченко,"Fortimoist зміцнювальний безсульфатний шампунь, RP004",,,,,дозволено
,09/01/25,1/7/2025,,,Шевченко,"Total care багатофункціональний незмивний крем для волосся, RP022",,,,,дозволено
,09/01/25,10/30/2024,,,Шевченко,"Бальзам для губ lip charm, Ingr",,,,,дозволено
,15/01/25,1/7/2025,,,Сьомушкіна,"НЕЗМИВНИЙ ЗВОЛОЖУЮЧИЙ КРЕМ БУСТЕР ""REPAIR"" Radiant Bliss, RP022",,,,,дозволено
,15/01/25,1/10/2025,,,Сьомушкіна,"МАСКА ""HYDRATING"" Radiant Bliss, RP016",,,,,дозволено
,15/01/25,12/6/2024,,,Сьомушкіна,"HYDRATING SHAMPOO Radiant Bliss, RP014",,,,,дозволено
,15/01/25,20.12.2024    07.01.2025,,,Сьомушкіна,"КОНДИЦІОНЕР ""HYDRATING"" Radiant Bliss, RP015",,,,,дозволено
1/16/2025,01/25(1),1/16/2025,,,L236,Зволожуючий тонік Hydra,,,,,дозволено
,01/25(1),11/27/2024,,,L141,"Шампунь ""Шовковий"" для сухого та пошкодженого волосся",,,,,дозволено
,01/25(1),11/20/2024,,,L147,Кондиціонер для волосся,,,,,дозволено
1/17/2025,17/01/25,11/14/2024,,,Нікітан,Крем термозахист,,,,,дозволено
,01/25(1),1/16/2025,,,L217,Зволожуючий крем Hydra,,,,,дозволено
